Total passes,467,,,,,,
Total successful passes,398,,,,,,
Total successful switches,15,,,,,,
Total successful long balls,22,,,,,,
Total passes in first half,180,,,,,,
Total passes in second half,180,,,,,,
Total successful passes in first half,160,,,,,,
Total successful passes in second half,150,,,,,,
Status,Type,FromX,FromY,ToX,ToY,Time,Segment
Successful,Forward,-26,9,19,38,0:00:00,first half
Successful,Forward,-12,-12,13,39,0:00:20,first half
Successful,Backward,17,20,-20,-23,0:00:48,first half
Successful,Backward,1,-6,-7,-14,0:01:00,first half
Successful,Forward,26,-2,4,38,0:01:12,first half
Successful,Backward,-15,-36,2,-40,0:01:27,first half
Successful,Forward,-29,0,-19,4,0:01:52,first half
Successful,Forward,-12,-33,15,-8,0:02:18,first half
Successful,Forward,3,7,17,36,0:02:45,first half
Successful,Backward,29,41,-21,20,0:02:58,first half
Successful,Backward,17,35,29,-10,0:03:21,first half
Successful,Backward,1,42,7,0,0:03:50,first half
Successful,Backward,18,35,17,-22,0:04:04,first half
Successful,Backward,8,27,-19,-33,0:04:31,first half
Unsuccessful,Forward,-19,-15,22,12,0:04:52,first half
Unsuccessful,Forward,-5,7,19,27,0:05:19,first half
Unsuccessful,Forward,-6,-7,15,2,0:05:37,first half
Successful,Backward,12,49,25,12,0:05:54,first half
Successful,Backward,16,18,-29,-1,0:06:12,first half
Successful,Forward,9,-34,2,26,0:06:36,first half
Successful,Backward,-13,-26,-13,-48,0:07:04,first half
Successful,Forward,16,31,-20,48,0:07:29,first half
Successful,Backward,-16,47,24,27,0:07:56,first half
Successful,Backward,-19,32,26,27,0:08:24,first half
Successful,Forward,18,-45,-23,9,0:08:47,first half
Successful,Forward,22,-38,4,-32,0:09:05,first half
Successful,Backward,-24,41,-23,3,0:09:26,first half
Unsuccessful,Backward,-4,-5,-25,-30,0:09:50,first half
Successful,Backward,12,39,-18,-3,0:10:02,first half
Successful,Backward,0,32,6,16,0:10:24,first half
Successful,Forward,22,-18,27,-3,0:10:41,first half
Successful,Backward,10,21,20,6,0:11:09,first half
Successful,Forward,14,-22,-24,-1,0:11:27,first half
Successful,Backward,-21,-12,16,-39,0:11:40,first half
Successful,Forward,-2,-30,29,-22,0:11:52,first half
Successful,Forward,-24,-12,-8,4,0:12:08,first half
Unsuccessful,Forward,-18,-18,-23,5,0:12:35,first half
Successful,Forward,16,-42,-28,8,0:12:51,first half
Successful,Backward,25,28,17,15,0:13:10,first half
Successful,Forward,-24,15,21,44,0:13:32,first half
Successful,Backward,-2,35,23,-14,0:13:54,first half
Successful,Forward,-25,28,27,36,0:14:19,first half
Successful,Forward,-24,-27,18,23,0:14:34,first half
Successful,Backward,12,15,-23,-44,0:15:01,first half
Successful,Forward,21,-7,22,46,0:15:21,first half
Successful,Forward,-26,-2,16,15,0:15:38,first half
Successful,Forward,11,-26,-24,34,0:15:53,first half
Successful,Backward,-24,47,-8,15,0:16:12,first half
Successful,Forward,15,7,0,18,0:16:30,first half
Successful,Backward,4,42,28,-23,0:16:57,first half
Successful,Backward,-12,35,-7,-22,0:17:21,first half
Successful,Forward,23,-35,-5,48,0:17:33,first half
Successful,Backward,0,-12,-29,-18,0:18:01,first half
Successful,Backward,23,36,19,-17,0:18:15,first half
Successful,Forward,23,-17,-7,21,0:18:28,first half
Successful,Backward,-11,-17,18,-47,0:18:43,first half
Successful,Backward,22,23,0,-37,0:19:10,first half
Successful,Backward,12,19,26,-42,0:19:28,first half
Successful,Forward,-21,1,-8,24,0:19:47,first half
Successful,Backward,-19,18,26,-18,0:20:13,first half
Successful,Forward,-16,-34,-5,-14,0:20:35,first half
Successful,Forward,11,-7,25,42,0:20:55,first half
Successful,Backward,1,9,25,-46,0:21:13,first half
Successful,Backward,-10,16,24,11,0:21:29,first half
Unsuccessful,Backward,-12,7,25,-2,0:21:49,first half
Unsuccessful,Forward,13,14,0,43,0:22:10,first half
